reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.4,0.005743354118805382
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.45,0.005824924111904176
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.5,0.005988023952095809
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.55,0.006069553805774278
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.6,0.0062325733967525014
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.65,0.006395539521154477
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.7,0.006477002541608592
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.75,0.006721311475409836
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.8,0.006884117357810195
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.85,0.007128226136829168
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.9,0.007453517896633631
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.95,0.007859832978549206
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.975,0.00818464560484531
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.99,0.008671465968586388
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.01,0.0035668967827271088
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.025,0.003928724364695735
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.05,0.004309471562207871
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.1,0.0047417510537710005
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.15,0.005055754089534425
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.2,0.005299387059189715
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.25,0.005512679527061798
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.3,0.005714179401880668
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.35,0.005903603353091738
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.4,0.006106064841485836
